[TICK 0] running=2 | ready=48 | finished=0
[TICK 5] running=2 | ready=48 | finished=0
[TICK 10] running=2 | ready=48 | finished=0
[TICK 15] running=2 | ready=48 | finished=0
[TICK 20] running=2 | ready=48 | finished=0
[TICK 25] running=2 | ready=48 | finished=0
[TICK 30] running=2 | ready=48 | finished=0
[TICK 35] running=2 | ready=48 | finished=0
[TICK 40] running=2 | ready=48 | finished=0
[TICK 45] running=2 | ready=48 | finished=0
[TICK 50] running=2 | ready=48 | finished=0
[TICK 55] running=2 | ready=48 | finished=0
[TICK 60] running=2 | ready=48 | finished=0
[TICK 65] running=2 | ready=48 | finished=0
[TICK 70] running=2 | ready=48 | finished=0
[TICK 75] running=2 | ready=48 | finished=0
[TICK 80] running=2 | ready=48 | finished=0
[TICK 85] running=2 | ready=48 | finished=0
[TICK 90] running=2 | ready=48 | finished=0
[TICK 95] running=2 | ready=48 | finished=0
[TICK 100] running=2 | ready=48 | finished=0
[TICK 105] running=2 | ready=48 | finished=0
[TICK 110] running=2 | ready=48 | finished=0
[TICK 115] running=2 | ready=48 | finished=0
[TICK 120] running=2 | ready=48 | finished=0
[TICK 125] running=2 | ready=48 | finished=0
[TICK 130] running=2 | ready=48 | finished=0
[TICK 135] running=2 | ready=48 | finished=0
[TICK 140] running=2 | ready=48 | finished=0
[TICK 145] running=2 | ready=48 | finished=0
[TICK 150] running=2 | ready=48 | finished=0
[TICK 155] running=2 | ready=48 | finished=0
[TICK 160] running=2 | ready=48 | finished=0
[TICK 165] running=2 | ready=48 | finished=0
[TICK 170] running=2 | ready=48 | finished=0
[TICK 175] running=2 | ready=48 | finished=0
[TICK 180] running=2 | ready=48 | finished=0
[TICK 185] running=2 | ready=48 | finished=0
[TICK 190] running=2 | ready=48 | finished=0
[TICK 195] running=2 | ready=48 | finished=0
[TICK 200] running=2 | ready=48 | finished=0
[TICK 205] running=2 | ready=48 | finished=0
[TICK 210] running=2 | ready=48 | finished=0
[TICK 215] running=2 | ready=48 | finished=0
[TICK 220] running=2 | ready=48 | finished=0
[TICK 225] running=2 | ready=48 | finished=0
[TICK 230] running=2 | ready=48 | finished=0
[TICK 235] running=2 | ready=48 | finished=0
[TICK 240] running=2 | ready=48 | finished=0
[TICK 245] running=2 | ready=48 | finished=0
[TICK 250] running=2 | ready=48 | finished=0
[TICK 255] running=2 | ready=48 | finished=0
[TICK 260] running=2 | ready=48 | finished=0
[TICK 265] running=2 | ready=48 | finished=0
[TICK 270] running=2 | ready=48 | finished=0
[TICK 275] running=2 | ready=48 | finished=0
[TICK 280] running=2 | ready=48 | finished=0
[TICK 285] running=2 | ready=48 | finished=0
[TICK 290] running=2 | ready=48 | finished=0
ID:710 Nombre:KernelTask Prioridad:10 Estado:3 Fecha:01/06/2025 Tiempo:0
[TICK 295] running=2 | ready=47 | finished=1
[TICK 300] running=2 | ready=47 | finished=1
[TICK 305] running=2 | ready=47 | finished=1
[TICK 310] running=2 | ready=47 | finished=1
[TICK 315] running=2 | ready=47 | finished=1
[TICK 320] running=2 | ready=47 | finished=1
[TICK 325] running=2 | ready=47 | finished=1
[TICK 330] running=2 | ready=47 | finished=1
[TICK 335] running=2 | ready=47 | finished=1
[TICK 340] running=2 | ready=47 | finished=1
[TICK 345] running=2 | ready=47 | finished=1
[TICK 350] running=2 | ready=47 | finished=1
[TICK 355] running=2 | ready=47 | finished=1
[TICK 360] running=2 | ready=47 | finished=1
[TICK 365] running=2 | ready=47 | finished=1
[TICK 370] running=2 | ready=47 | finished=1
[TICK 375] running=2 | ready=47 | finished=1
[TICK 380] running=2 | ready=47 | finished=1
[TICK 385] running=2 | ready=47 | finished=1
[TICK 390] running=2 | ready=47 | finished=1
[TICK 395] running=2 | ready=47 | finished=1
[TICK 400] running=2 | ready=47 | finished=1
[TICK 405] running=2 | ready=47 | finished=1
[TICK 410] running=2 | ready=47 | finished=1
[TICK 415] running=2 | ready=47 | finished=1
[TICK 420] running=2 | ready=47 | finished=1
[TICK 425] running=2 | ready=47 | finished=1
[TICK 430] running=2 | ready=47 | finished=1
[TICK 435] running=2 | ready=47 | finished=1
[TICK 440] running=2 | ready=47 | finished=1
[TICK 445] running=2 | ready=47 | finished=1
[TICK 450] running=2 | ready=47 | finished=1
[TICK 455] running=2 | ready=47 | finished=1
ID:944 Nombre:Miner Prioridad:10 Estado:3 Fecha:02/07/2025 Tiempo:0
[TICK 460] running=2 | ready=46 | finished=2
[TICK 465] running=2 | ready=46 | finished=2
[TICK 470] running=2 | ready=46 | finished=2
ID:902 Nombre:MLTask Prioridad:10 Estado:3 Fecha:03/06/2025 Tiempo:0
[TICK 475] running=2 | ready=45 | finished=3
[TICK 480] running=2 | ready=45 | finished=3
[TICK 485] running=2 | ready=45 | finished=3
[TICK 490] running=2 | ready=45 | finished=3
[TICK 495] running=2 | ready=45 | finished=3
[TICK 500] running=2 | ready=45 | finished=3
ID:9999 Nombre:Heuristico Prioridad:10 Estado:3 Fecha:05/07/2025 Tiempo:0
[TICK 505] running=2 | ready=44 | finished=4
[TICK 510] running=2 | ready=44 | finished=4
[TICK 515] running=2 | ready=44 | finished=4
[TICK 520] running=2 | ready=44 | finished=4
[TICK 525] running=2 | ready=44 | finished=4
[TICK 530] running=2 | ready=44 | finished=4
[TICK 535] running=2 | ready=44 | finished=4
[TICK 540] running=2 | ready=44 | finished=4
[TICK 545] running=2 | ready=44 | finished=4
[TICK 550] running=2 | ready=44 | finished=4
[TICK 555] running=2 | ready=44 | finished=4
[TICK 560] running=2 | ready=44 | finished=4
[TICK 565] running=2 | ready=44 | finished=4
[TICK 570] running=2 | ready=44 | finished=4
[TICK 575] running=2 | ready=44 | finished=4
[TICK 580] running=2 | ready=44 | finished=4
[TICK 585] running=2 | ready=44 | finished=4
[TICK 590] running=2 | ready=44 | finished=4
[TICK 595] running=2 | ready=44 | finished=4
[TICK 600] running=2 | ready=44 | finished=4
[TICK 605] running=2 | ready=44 | finished=4
[TICK 610] running=2 | ready=44 | finished=4
[TICK 615] running=2 | ready=44 | finished=4
[TICK 620] running=2 | ready=44 | finished=4
[TICK 625] running=2 | ready=44 | finished=4
[TICK 630] running=2 | ready=44 | finished=4
[TICK 635] running=2 | ready=44 | finished=4
[TICK 640] running=2 | ready=44 | finished=4
[TICK 645] running=2 | ready=44 | finished=4
[TICK 650] running=2 | ready=44 | finished=4
[TICK 655] running=2 | ready=44 | finished=4
[TICK 660] running=2 | ready=44 | finished=4
[TICK 665] running=2 | ready=44 | finished=4
[TICK 670] running=2 | ready=44 | finished=4
[TICK 675] running=2 | ready=44 | finished=4
[TICK 680] running=2 | ready=44 | finished=4
[TICK 685] running=2 | ready=44 | finished=4
[TICK 690] running=2 | ready=44 | finished=4
[TICK 695] running=2 | ready=44 | finished=4
[TICK 700] running=2 | ready=44 | finished=4
[TICK 705] running=2 | ready=44 | finished=4
[TICK 710] running=2 | ready=44 | finished=4
[TICK 715] running=2 | ready=44 | finished=4
[TICK 720] running=2 | ready=44 | finished=4
[TICK 725] running=2 | ready=44 | finished=4
[TICK 730] running=2 | ready=44 | finished=4
[TICK 735] running=2 | ready=44 | finished=4
[TICK 740] running=2 | ready=44 | finished=4
[TICK 745] running=2 | ready=44 | finished=4
[TICK 750] running=2 | ready=44 | finished=4
[TICK 755] running=2 | ready=44 | finished=4
[TICK 760] running=2 | ready=44 | finished=4
[TICK 765] running=2 | ready=44 | finished=4
[TICK 770] running=2 | ready=44 | finished=4
[TICK 775] running=2 | ready=44 | finished=4
[TICK 780] running=2 | ready=44 | finished=4
[TICK 785] running=2 | ready=44 | finished=4
[TICK 790] running=2 | ready=44 | finished=4
[TICK 795] running=2 | ready=44 | finished=4
[TICK 800] running=2 | ready=44 | finished=4
[TICK 805] running=2 | ready=44 | finished=4
[TICK 810] running=2 | ready=44 | finished=4
[TICK 815] running=2 | ready=44 | finished=4
[TICK 820] running=2 | ready=44 | finished=4
[TICK 825] running=2 | ready=44 | finished=4
[TICK 830] running=2 | ready=44 | finished=4
[TICK 835] running=2 | ready=44 | finished=4
[TICK 840] running=2 | ready=44 | finished=4
[TICK 845] running=2 | ready=44 | finished=4
[TICK 850] running=2 | ready=44 | finished=4
[TICK 855] running=2 | ready=44 | finished=4
[TICK 860] running=2 | ready=44 | finished=4
[TICK 865] running=2 | ready=44 | finished=4
[TICK 870] running=2 | ready=44 | finished=4
[TICK 875] running=2 | ready=44 | finished=4
[TICK 880] running=2 | ready=44 | finished=4
[TICK 885] running=2 | ready=44 | finished=4
[TICK 890] running=2 | ready=44 | finished=4
[TICK 895] running=2 | ready=44 | finished=4
[TICK 900] running=2 | ready=44 | finished=4
[TICK 905] running=2 | ready=44 | finished=4
ID:830 Nombre:Rasterizer Prioridad:9 Estado:3 Fecha:27/06/2025 Tiempo:0
[TICK 910] running=2 | ready=43 | finished=5
[TICK 915] running=2 | ready=43 | finished=5
[TICK 920] running=2 | ready=43 | finished=5
ID:906 Nombre:Crypto Prioridad:9 Estado:3 Fecha:25/05/2025 Tiempo:0
[TICK 925] running=2 | ready=42 | finished=6
[TICK 930] running=2 | ready=42 | finished=6
[TICK 935] running=2 | ready=42 | finished=6
[TICK 940] running=2 | ready=42 | finished=6
[TICK 945] running=2 | ready=42 | finished=6
[TICK 950] running=2 | ready=42 | finished=6
[TICK 955] running=2 | ready=42 | finished=6
[TICK 960] running=2 | ready=42 | finished=6
[TICK 965] running=2 | ready=42 | finished=6
[TICK 970] running=2 | ready=42 | finished=6
[TICK 975] running=2 | ready=42 | finished=6
[TICK 980] running=2 | ready=42 | finished=6
[TICK 985] running=2 | ready=42 | finished=6
[TICK 990] running=2 | ready=42 | finished=6
[TICK 995] running=2 | ready=42 | finished=6
[TICK 1000] running=2 | ready=42 | finished=6
ID:999 Nombre:IA_Model Prioridad:9 Estado:3 Fecha:30/05/2025 Tiempo:0
[TICK 1005] running=2 | ready=41 | finished=7
[TICK 1010] running=2 | ready=41 | finished=7
ID:844 Nombre:Contenedor Prioridad:9 Estado:3 Fecha:20/06/2025 Tiempo:0
[TICK 1015] running=2 | ready=40 | finished=8
[TICK 1020] running=2 | ready=40 | finished=8
[TICK 1025] running=2 | ready=40 | finished=8
[TICK 1030] running=2 | ready=40 | finished=8
[TICK 1035] running=2 | ready=40 | finished=8
[TICK 1040] running=2 | ready=40 | finished=8
[TICK 1045] running=2 | ready=40 | finished=8
[TICK 1050] running=2 | ready=40 | finished=8
[TICK 1055] running=2 | ready=40 | finished=8
[TICK 1060] running=2 | ready=40 | finished=8
[TICK 1065] running=2 | ready=40 | finished=8
[TICK 1070] running=2 | ready=40 | finished=8
[TICK 1075] running=2 | ready=40 | finished=8
[TICK 1080] running=2 | ready=40 | finished=8
[TICK 1085] running=2 | ready=40 | finished=8
[TICK 1090] running=2 | ready=40 | finished=8
[TICK 1095] running=2 | ready=40 | finished=8
[TICK 1100] running=2 | ready=40 | finished=8
[TICK 1105] running=2 | ready=40 | finished=8
[TICK 1110] running=2 | ready=40 | finished=8
[TICK 1115] running=2 | ready=40 | finished=8
[TICK 1120] running=2 | ready=40 | finished=8
