[TICK 0] running=0 | ready=50 | finished=0
[TICK 5] running=0 | ready=50 | finished=0
[TICK 10] running=0 | ready=50 | finished=0
[TICK 15] running=0 | ready=50 | finished=0
[TICK 20] running=0 | ready=50 | finished=0
[TICK 25] running=0 | ready=50 | finished=0
[TICK 30] running=0 | ready=50 | finished=0
[TICK 35] running=0 | ready=50 | finished=0
[TICK 40] running=0 | ready=50 | finished=0
[TICK 45] running=0 | ready=50 | finished=0
[TICK 50] running=0 | ready=50 | finished=0
[TICK 55] running=0 | ready=50 | finished=0
[TICK 60] running=0 | ready=50 | finished=0
[TICK 65] running=0 | ready=50 | finished=0
[TICK 70] running=0 | ready=50 | finished=0
[TICK 75] running=0 | ready=50 | finished=0
[TICK 80] running=0 | ready=50 | finished=0
[TICK 85] running=0 | ready=50 | finished=0
[TICK 90] running=0 | ready=50 | finished=0
[TICK 95] running=0 | ready=50 | finished=0
[TICK 100] running=0 | ready=50 | finished=0
[TICK 105] running=0 | ready=50 | finished=0
[TICK 110] running=0 | ready=50 | finished=0
[TICK 115] running=0 | ready=50 | finished=0
[TICK 120] running=0 | ready=50 | finished=0
[TICK 125] running=0 | ready=50 | finished=0
[TICK 130] running=0 | ready=50 | finished=0
[TICK 135] running=0 | ready=50 | finished=0
[TICK 140] running=0 | ready=50 | finished=0
[TICK 145] running=0 | ready=50 | finished=0
[TICK 150] running=0 | ready=50 | finished=0
[TICK 155] running=0 | ready=50 | finished=0
[TICK 160] running=0 | ready=50 | finished=0
[TICK 165] running=0 | ready=50 | finished=0
[TICK 170] running=0 | ready=50 | finished=0
[TICK 175] running=0 | ready=50 | finished=0
[TICK 180] running=0 | ready=50 | finished=0
[TICK 185] running=0 | ready=50 | finished=0
[TICK 190] running=0 | ready=50 | finished=0
[TICK 195] running=0 | ready=50 | finished=0
[TICK 200] running=0 | ready=50 | finished=0
[TICK 205] running=0 | ready=50 | finished=0
[TICK 210] running=0 | ready=50 | finished=0
[TICK 215] running=0 | ready=50 | finished=0
[TICK 220] running=0 | ready=50 | finished=0
[TICK 225] running=0 | ready=50 | finished=0
[TICK 230] running=0 | ready=50 | finished=0
[TICK 235] running=0 | ready=50 | finished=0
[TICK 240] running=0 | ready=50 | finished=0
[TICK 245] running=0 | ready=50 | finished=0
[TICK 250] running=0 | ready=50 | finished=0
[TICK 255] running=0 | ready=50 | finished=0
[TICK 260] running=0 | ready=50 | finished=0
[TICK 265] running=0 | ready=50 | finished=0
[TICK 270] running=0 | ready=50 | finished=0
[TICK 275] running=0 | ready=50 | finished=0
[TICK 280] running=0 | ready=50 | finished=0
[TICK 285] running=0 | ready=50 | finished=0
[TICK 290] running=0 | ready=50 | finished=0
[TICK 295] running=0 | ready=50 | finished=0
[TICK 300] running=0 | ready=50 | finished=0
[TICK 305] running=0 | ready=50 | finished=0
[TICK 310] running=0 | ready=50 | finished=0
[TICK 315] running=0 | ready=50 | finished=0
[TICK 320] running=0 | ready=50 | finished=0
[TICK 325] running=0 | ready=50 | finished=0
[TICK 330] running=0 | ready=50 | finished=0
[TICK 335] running=0 | ready=50 | finished=0
[TICK 340] running=0 | ready=50 | finished=0
[TICK 345] running=0 | ready=50 | finished=0
[TICK 350] running=0 | ready=50 | finished=0
[TICK 355] running=0 | ready=50 | finished=0
[TICK 360] running=0 | ready=50 | finished=0
[TICK 365] running=0 | ready=50 | finished=0
[TICK 370] running=0 | ready=50 | finished=0
[TICK 375] running=0 | ready=50 | finished=0
[TICK 380] running=0 | ready=50 | finished=0
